Produkt,n,mean_mom,median_mom,sd_mom,min_mom,max_mom,start_preis,end_preis,preisanstieg_pct,Kategorie
Pralinen,66,0.36709991125526575,0.3114597329653468,2.248731894062803,-11.12666200139958,6.22047244094488,101.4,127,25.24654832347139,Zucker & Süßwaren
Honig,66,0.3130899829489882,0.03855050115652014,1.8865013635412549,-5.202754399387899,10.412926391382404,101.2,123,21.54150197628457,Zucker & Süßwaren
Möhren,66,0.5425837538637148,1.2172745107370764,7.137489356506489,-14.564686737184706,23.420647149460684,86.5,105,21.387283236994215,Gemüse & Gemüsekonserven
Zucker,66,0.4337098462864308,0.1438287862128962,5.6278475185491175,-19.93373826615129,37.51178133836004,99.7,121,21.364092276830497,Zucker & Süßwaren
Kartoffeln,66,0.49041847817753087,1.384454700152249,6.390778558344049,-18.410041841004187,14.84681853888452,97.1,117,20.494335736354287,Gemüse & Gemüsekonserven
"Marmelade, Konfitüre oder Gelee",66,0.2857140836540894,0.1463910901691956,2.0896183589438286,-7.924528301886791,8.517887563884162,102.5,122,19.024390243902435,Zucker & Süßwaren
Kartoffelkloßmehl oder Kartoffelpüree,66,0.30360959826653156,0.1972394260994048,2.814205361071929,-15.000000000000002,14.137606032045236,100,119,18.999999999999993,Gemüse & Gemüsekonserven
Kartoffelchips oder Kartoffelsticks,66,0.29888932994818573,0.41045293342261147,2.977380180976199,-17.18426501035197,8.07043286867204,101.6,120,18.11023622047245,Gemüse & Gemüsekonserven
Paprika,66,1.0352210112736873,-0.5563577340120751,13.087541193515507,-25.418994413407823,46.69683257918551,85.5,100,16.959064327485372,Gemüse & Gemüsekonserven
"Pommes frites oder Ähnliches, tiefgefroren",66,0.28134881806403383,0.11846408029232423,3.069677739144445,-17.19298245614035,12.701100762066051,101.2,118,16.600790513833985,Gemüse & Gemüsekonserven
Stangenspargel oder andere Gemüsekonserve,66,0.3152709434936024,0.27916794725357796,4.222511509043526,-27.802406586447127,16.32341723874906,98.9,114,15.267947421638016,Gemüse & Gemüsekonserven
Erbsenkonserve,60,0.3128178804507159,0.5360789194372995,3.905719428260639,-27.933673469387767,4.87062404870624,98.9,113,14.256825075834168,Gemüse & Gemüsekonserven
"Antipasti auf Gemüsebasis, ohne Oliven",66,0.20491582716689372,0.13598983032573342,1.0478205009290238,-3.893951946975971,5.0880626223092085,101.7,116,14.060963618485744,Gemüse & Gemüsekonserven
Sauerkrautkonserve,66,0.3120557575180204,0.4588771760961507,4.4469255043461855,-32.3583180987203,5.965909090909105,97.8,111,13.496932515337434,Gemüse & Gemüsekonserven
"Gemüseprodukt, vegetarisch oder vegan",66,0.192758313814629,0,1.1400740559475464,-2.1847070506454846,3.4587995930823956,101.7,115,13.077679449360868,Gemüse & Gemüsekonserven
"Zwiebeln, Knoblauch oder Ähnliches",66,0.5872437580274652,0.4603584270966299,8.874283531480456,-36.38048177887585,19.35709294199861,92.1,103,11.834961997828453,Gemüse & Gemüsekonserven
Pilzkonserve,66,0.20467114547073537,0.28985507246377384,2.7139567783633756,-19.19191919191919,4.957102001906577,100.5,112,11.442786069651746,Gemüse & Gemüsekonserven
Gurkenkonserve,66,0.21452931985177728,0.3798673891241666,3.121295087112462,-22.425952045134,5.916666666666659,99,110,11.111111111111116,Gemüse & Gemüsekonserven
Buttergemüse oder anderes tiefgefrorenes Gemüse,60,0.2488327152455395,0.4378128931953218,3.5709893363310936,-25.92592592592593,5.18038852913969,97.3,108,10.996916752312448,Gemüse & Gemüsekonserven
