Produkt,Kategorie,Risikogruppe,preisanstieg_pct,modell,aic,bic,rmse,mae,mape
Kakaopulver oder Ähnliches,"Kaffee, Tee & Kakao",hoch,69.11468812877261,"ARIMA(0,2,1)(1,0,0)[12]",-758.3010004441426,-752.4472692883983,6.561654739359168,4.859142943320502,3.076080531478683
Kalbfleisch,Fleisch & Wurst,stabil,23.146292585170357,"ARIMA(1,1,2)(1,0,0)[12]",661.7744778286724,671.625937396433,2.8754554952982163,2.4061591719806437,1.9970275548359147
Kaninchenfleisch oder anderes Wildfleisch,Fleisch & Wurst,stabil,27.346115035317876,"ARIMA(0,1,0) with drift",-778.9885764942658,-775.0479926671616,3.7019160782877414,3.4049686397550736,2.7509283649868745
Kartoffelchips oder Kartoffelsticks,Gemüse & Gemüsekonserven,hoch,42.61811023622049,"ARIMA(0,1,0) with drift",-710.8690365350507,-706.9284527079465,6.528198017964618,4.782230466899165,3.260573137276014
Kartoffelkloßmehl oder Kartoffelpüree,Gemüse & Gemüsekonserven,mittel,39.99999999999999,"ARIMA(0,1,0) with drift",-704.4746102438761,-700.5340264167719,7.0426384016006285,5.887607112287784,4.217404314685417
Kartoffeln,Gemüse & Gemüsekonserven,hoch,47.68280123583934,"ARIMA(0,1,1)(1,1,0)[12]",219.58227271226224,224.72298891237517,31.20019755380188,29.262661443554066,22.796595894699404
Kasseler oder anderes Schweinefleisch,Fleisch & Wurst,stabil,27.10472279260778,"ARIMA(0,1,1)",-657.0620593080178,-653.3617641045977,3.7183927076347274,3.487963413316655,2.8166436402662023
"Kaugummi, Gummibärchen oder Ähnliches",Zucker & Süßwaren,mittel,35.67888999008919,"ARIMA(0,1,0) with drift",-624.9722939374719,-621.0317101103677,8.374349558086484,6.553487467311082,4.838467690450072
Kekse,Getreide & Backwaren,hoch,76.87747035573122,"ARIMA(0,1,0)(1,0,0)[12] with drift",-707.0304903131178,-701.1196145724614,11.892814923879873,10.123589303519347,5.650912912250335
"Kiwis, Melonen oder Ähnliches",Obst & Obstkonserven,stabil,16.545265348595215,"ARIMA(0,1,0)(0,0,1)[12]",752.7592922208762,756.6998760479804,3.7487536627513345,3.3516232219067192,2.957081195144029
Knäckebrot oder Zwieback,Getreide & Backwaren,hoch,71.5291750503018,"ARIMA(2,1,0) with drift",-730.0568234149204,-722.1756557607118,9.686957360580935,8.171590251364373,4.879714267694607
Koffeinfreie Limonade,Säfte & Softdrinks,mittel,31.3803376365442,"ARIMA(0,1,0) with drift",-739.435384571497,-735.4948007443928,3.3497909373351797,2.5620882727095093,1.960024271214493
Kondensierte Milch,Milch & Milchgetränke,hoch,67.60280842527581,"ARIMA(2,1,0)",-720.5389199195829,-714.6280441789265,11.868047301342868,11.431640896122579,6.832723451046668
Kopfsalat oder Eisbergsalat,Gemüse & Gemüsekonserven,stabil,-13.891285591026758,"ARIMA(0,0,1)(1,1,0)[12] with drift",135.1078616860075,142.058540159141,13.302028075608197,11.571922233970442,9.897380730253309
"Kuchen oder Torte, tiefgefroren",Getreide & Backwaren,hoch,51.73783515392254,"ARIMA(0,1,0) with drift",-742.7722298747104,-738.8316460476062,5.071726882811791,4.133906162086173,2.760270084738708
"Kuchen, Torte oder Tortenboden, frisch",Getreide & Backwaren,mittel,38.91675025075225,"ARIMA(1,1,1)",-813.544487704003,-807.6336119633467,3.6529895967371804,3.262830877516741,2.3579261669835696
Körnerbrot oder Vollkornbrot,Getreide & Backwaren,mittel,34.969939879759515,"ARIMA(1,1,1)",-782.2776527117857,-776.3667769711293,1.0374317885864264,0.8931519513506435,0.6707504406503374
"Kürbisse, Auberginen oder Mais",Gemüse & Gemüsekonserven,stabil,2.204408817635284,"ARIMA(0,0,0)(1,1,1)[12] with drift",-245.31737984575753,-238.36670137262405,13.04870892971188,10.866404958152069,9.631000746227082
Lammfleisch,Fleisch & Wurst,stabil,28.2435129740519,"ARIMA(1,1,1)",688.9466748632428,694.8575506038992,3.401590393621565,2.9629479300914086,2.3487973836899707
Leber oder andere Innereien,Fleisch & Wurst,stabil,23.19277108433735,"ARIMA(0,1,0) with drift",354.77838203165766,358.7189658587619,2.48893072049861,2.0441169481964665,1.7126370494654641
Leberwurst oder Blutwurst,Fleisch & Wurst,mittel,30.104166666666664,"ARIMA(0,1,0) with drift",-653.9365798651763,-650.2362846617563,7.525090347064308,7.056851505659973,5.663087527135251
Margarine oder Pflanzenfett,Öle & Fette,hoch,52.54901960784313,"ARIMA(1,1,1)",-346.6865310168483,-340.7756552761919,3.4726633534172118,2.886220541806511,1.8790097623049622
"Marmelade, Konfitüre oder Gelee",Zucker & Süßwaren,mittel,29.26829268292683,"ARIMA(0,1,0) with drift",-720.7495933041538,-716.8090094770496,13.019585122679265,10.83843977687352,8.082792745702442
Mayonnaise,Sonstige Nahrungsmittel,hoch,53.040877367896314,"ARIMA(3,1,0)",-664.5636950701478,-657.1631046633075,1.7649595824629534,1.562037047179011,1.020210760491039
"Meeresfrüchte, frisch oder gekühlt",Fisch & Meeresfrüchte,stabil,19.556451612903224,"ARIMA(0,1,3) with drift",-823.7626781488511,-813.9112185810906,6.13928773946403,6.007031833396122,5.149043027324726
Mineralwasser mit Kohlensäure,Säfte & Softdrinks,stabil,29.220138203356385,"ARIMA(0,1,0)(0,0,1)[12] with drift",-570.6183134055082,-564.7074376648518,1.887296151899298,1.5478185402303382,1.184010055001693
Mineralwasser ohne Kohlensäure,Säfte & Softdrinks,stabil,28.44311377245507,"ARIMA(0,1,3) with drift",-777.5835410303372,-767.7320814625766,2.3836649893349118,1.8227311656542657,1.4416433963657038
"Muffins, Waffeln oder andere Dauerbackwaren",Getreide & Backwaren,mittel,37.363726461843406,"ARIMA(1,1,1)",-755.2544884981986,-749.3436127575422,1.0172494031845485,0.7903296389461119,0.5817498214532796
Multivitaminsaft,Säfte & Softdrinks,hoch,48.364717542120886,"ARIMA(0,2,2)",-727.5328892344552,-721.6791580787109,9.759010819259288,8.721408668146282,5.937920612948614
Möhren,Gemüse & Gemüsekonserven,hoch,42.08092485549133,"ARIMA(1,0,0)(1,1,0)[12]",-474.4769363935503,-469.2639275387002,26.97093297571872,20.723957034201774,17.80288508948952
Nudelfertiggericht,Getreide & Backwaren,hoch,58.534136546184754,"ARIMA(0,1,0) with drift",-689.4834182035427,-685.5428343764385,10.880296463617205,9.537012226443126,6.133194066121569
Nudeln,Getreide & Backwaren,mittel,39.80295566502463,"ARIMA(1,1,0)",-646.7920080323522,-643.0917128289321,5.4489808558960435,5.414315185390895,3.8142938357493485
Olivenöl,Öle & Fette,hoch,55.51257253384914,"ARIMA(0,2,1)(0,0,1)[12]",-733.7705714347547,-727.9168402790104,65.17014884460374,52.18811080193749,29.880308508642035
Orangensaft oder ähnlicher Fruchtsaft,Säfte & Softdrinks,hoch,71.73281703775412,"ARIMA(0,2,1)",-709.6157977273452,-705.7133102901823,3.1886682961992854,2.5273314176615784,1.4826272217029925
Paprika,Gemüse & Gemüsekonserven,hoch,47.83625730994152,"ARIMA(3,0,0)(1,1,0)[12] with drift",-131.67930006383548,-121.25328235413528,14.371006465110918,11.651485552502011,8.844251827590382
"Pfirsiche, Kirschen o.a. Stein- oder Kernobst",Obst & Obstkonserven,stabil,22.696411251212425,"ARIMA(1,0,0)(0,1,0)[12] with drift",169.8857867714545,175.0987956263046,8.739982301089606,7.131585321564958,5.845372425914151
Pilzkonserve,Gemüse & Gemüsekonserven,mittel,37.910447761194035,"ARIMA(3,1,2)",-495.93996066833444,-484.1182091870217,3.5924036220674678,3.5269533456523328,2.555153623865202
"Pizza, Quiches oder Ähnliches",Getreide & Backwaren,mittel,34.434434434434436,"ARIMA(0,1,0) with drift",-724.4658569166859,-720.5252730895817,10.053275121565955,8.719898812763084,6.434083573428015
"Pommes frites oder Ähnliches, tiefgefroren",Gemüse & Gemüsekonserven,mittel,40.81027667984189,"ARIMA(3,1,0)",-709.1612829812968,-701.2801153270883,3.3642208099292383,2.6755650808955167,1.8272500589290936
Pralinen,Zucker & Süßwaren,mittel,40.92702169625247,"ARIMA(1,1,0)(1,0,1)[12]",-756.5992962161552,-748.7181285619466,9.508155620322102,7.302283803050376,5.431396143613152
Puddingpulver,Sonstige Nahrungsmittel,stabil,28.073572120038737,"ARIMA(2,1,0)",-637.6428205532136,-632.0923777480834,7.965518834963692,7.693682353049596,5.889254345732085
Quark,Milch & Milchgetränke,hoch,75.48918640576727,"ARIMA(1,1,0)",-302.198805921222,-298.25822209411774,11.01098510083116,10.235987204052597,5.684767813520679
Reis,Getreide & Backwaren,mittel,41.164658634538164,"ARIMA(0,1,0) with drift",-118.3121772451788,-114.37159341807455,3.65905151565935,3.4398379896544378,2.4811111435362876
Reiszubereitung,Getreide & Backwaren,mittel,39.900000000000006,"ARIMA(0,2,2)(0,0,1)[12]",608.2184558074682,615.5330213934246,14.535918934038175,12.093757278319785,8.67249312219637
Riegel oder andere Erzeugnisse aus Schokolade,Zucker & Süßwaren,hoch,70.09063444108763,"ARIMA(0,1,0) with drift",-758.962621371444,-755.0220375443398,4.435164138090191,4.044183217125213,2.6280540855366623
Rinderhackfleisch,Fleisch & Wurst,hoch,72.54098360655739,"ARIMA(1,1,0)",773.8579783895956,777.7985622166998,11.870373381368182,8.695200092156844,5.435157761260548
Rinderroulade oder Rinderlende,Fleisch & Wurst,mittel,38.888888888888886,"ARIMA(0,1,0) with drift",743.3087640959569,747.2493479230611,3.0447763834771053,2.530496713417817,1.8623765749951726
Rindfleisch zum Kochen,Fleisch & Wurst,hoch,58.03212851405624,"ARIMA(1,1,0) with drift",742.8977966859834,748.8086724266398,4.0494658612054515,2.8801632887443773,1.8998558520076807
Rindfleisch zum Schmoren oder Braten,Fleisch & Wurst,hoch,43.80664652567978,"ARIMA(0,1,0) with drift",714.1455607843818,718.086144611486,1.9990208094066777,1.5141151698992037,1.0930299515400703
Roggenbrot oder Mischbrot,Getreide & Backwaren,mittel,36.673346693386776,"ARIMA(1,1,1)",-815.6677882270318,-809.7569124863754,1.1242163136110148,0.9398705604103649,0.6929434510076007
"Roher Schinken, Schinkenspeck oder Bauchspeck",Fleisch & Wurst,stabil,27.16942148760331,"ARIMA(0,1,1) with drift",-680.3840273151477,-674.8335845100175,4.633519881759391,3.869630340992,3.140293798286197
Räucherfisch,Fisch & Meeresfrüchte,stabil,26.984126984126977,"ARIMA(3,1,0)",678.6398842415277,686.5210518957363,1.9922408996837548,1.7248333190046594,1.3571814376493523
Sahne,Milch & Milchgetränke,hoch,49.553128103277054,"ARIMA(2,1,1)",-614.3966760944597,-606.9960856876195,2.8144764930219495,2.2965091607726484,1.54195657283445
"Salami, Zervelatwurst oder andere Dauerwurst",Fleisch & Wurst,stabil,24.15210688591984,"ARIMA(0,1,1) with drift",679.4873965585226,685.398272299179,5.59434178431536,4.8173258718032175,3.98816378970836
Salzgebäck,Getreide & Backwaren,mittel,37.20703125,"ARIMA(1,1,0)(0,0,1)[12] with drift",-683.3918463484547,-675.5106786942462,12.141532104052235,10.862573402625967,7.793939456502506
"Sandwich, Wrap oder Ähnliches",Sonstige Nahrungsmittel,stabil,15.452755905511806,"ARIMA(0,2,1)",-745.591910468477,-741.689423031314,1.1662542398360367,0.8132025481299282,0.6869362628703332
Sauerkirschen oder andere Steinobstkonserve,Obst & Obstkonserven,mittel,40.53784860557768,"ARIMA(0,1,2) with drift",-729.4520078711521,-721.5708402169436,4.289963147461437,3.6253387403958564,2.5612979304014907
Sauerkrautkonserve,Gemüse & Gemüsekonserven,hoch,67.79141104294479,"ARIMA(0,1,0) with drift",-731.5990124399984,-727.6584286128942,14.87277862997754,13.069910106028074,8.097922495967167
Schmalz oder anderes tierisches Speisefett,Öle & Fette,hoch,54.6,"ARIMA(1,1,0) with drift",721.8317326815883,727.7426084222446,4.2231398337792125,3.7341867151113752,2.4627517071263343
Schnittkäse,Milch & Milchgetränke,hoch,51.49105367793243,"ARIMA(1,1,0)",-702.9051041528637,-698.9645203257595,4.201674182729169,3.352371545992485,2.2280778478817744
Schokoladentafel,Zucker & Süßwaren,hoch,65.86102719033231,"ARIMA(1,1,1) with drift",-674.4656699851062,-666.5845023308976,14.248064331249422,9.767289398857448,6.116074580037289
"Scholle, Forelle oder Karpfen, frisch oder gekühlt",Fisch & Meeresfrüchte,mittel,32.464929859719426,"ARIMA(0,1,3) with drift",-710.3552300151914,-701.1044920066411,2.1198413959383133,1.816579764219296,1.3769114584611533
Schwarzer Tee oder grüner Tee,"Kaffee, Tee & Kakao",stabil,11.764705882352944,"ARIMA(0,1,0) with drift",-749.4509592956199,-745.7506640921998,1.5223471590202982,1.4115677585248332,1.2636921833038683
Schweinebraten,Fleisch & Wurst,mittel,32.47687564234327,"ARIMA(0,1,0) with drift",712.3608302508862,716.3014140779904,2.8276046052392076,2.4781594868088868,1.9336296445886172
"Schweinehackfleisch, auch gemischt",Fleisch & Wurst,hoch,56.574923547400616,"ARIMA(1,1,0)",770.4011034818311,774.3416873089353,9.44389118673907,8.176240558431955,5.534858167452362
Schweinekotelett oder Schweineschnitzel,Fleisch & Wurst,mittel,33.541017653167195,"ARIMA(0,1,0) with drift",-629.9094464853945,-626.2091512819744,4.464006879238821,4.095728008190804,3.2652856114384536
Senf,Sonstige Nahrungsmittel,hoch,42.87148594377512,"ARIMA(2,1,0)",-668.0365357299202,-662.48609292479,2.6912899358715427,2.461691225618106,1.747486300817739
"Sojamilch, Reismilch o.Ä., ohne Kokosmilch",Milch & Milchgetränke,stabil,7.907907907907896,"ARIMA(0,1,0)",-325.51797935145134,-323.6678317497413,1.1772142257607605,0.9416666666667209,0.8728686093687491
"Sonnenblumenöl, Rapsöl oder Ähnliches",Öle & Fette,hoch,54.291417165668655,"ARIMA(0,1,1)",889.2801061127316,893.2206899398358,4.5308500612763325,3.789722242276208,2.3964025719910227
"Soßenpulver, Soßenbinder oder Ähnliches",Sonstige Nahrungsmittel,mittel,32.32931726907633,"ARIMA(1,1,0) with drift",-724.5218653449194,-718.6109896042631,7.773751926126335,6.433962332382531,4.8906985329274875
Speiseeis,Zucker & Süßwaren,stabil,28.771228771228778,"ARIMA(0,1,0) with drift",-739.117363632903,-735.1767798057988,8.862397029585066,8.008634316125201,6.169348128342827
Speisesalz,Sonstige Nahrungsmittel,stabil,28.628230616302197,"ARIMA(0,1,1) with drift",707.714511393139,713.6253871337954,1.2813410249778467,1.1905211390956947,0.931747613705549
Sportriegel,Sonstige Nahrungsmittel,stabil,15.14851485148514,"ARIMA(1,1,2) with drift",-818.0879639286308,-808.2365043608702,0.8895474622241251,0.7652096714765406,0.6645263604234406
Stangenspargel oder andere Gemüsekonserve,Gemüse & Gemüsekonserven,hoch,59.656218402426695,"ARIMA(0,1,0) with drift",-711.9280705799508,-707.9874867528466,21.80113218955005,19.43100251332739,12.346619032684726
