Produkt,Kategorie,Risikogruppe,r_cpi_niveau,r_cpi_mom
"Zwiebeln, Knoblauch oder Ähnliches",Gemüse & Gemüsekonserven,hoch,0.7469532805809102,0.023626162069645552
Butter,Öle & Fette,hoch,0.7206116498393202,-0.09863741391837048
Birnen,Obst & Obstkonserven,stabil,0.6636818370666836,-0.12879367895781063
Äpfel,Obst & Obstkonserven,mittel,0.6543353650018138,-0.14115659427014296
Zitrusfrüchte,Obst & Obstkonserven,hoch,0.5988303857054064,0.13852880765905898
Möhren,Gemüse & Gemüsekonserven,hoch,0.5800779172062859,0.0959740512989719
Paprika,Gemüse & Gemüsekonserven,hoch,0.5508128702101828,0.20177096602772154
Weintrauben,Obst & Obstkonserven,stabil,0.49493701679390817,-0.20827944560952671
"Pfirsiche, Kirschen o.a. Stein- oder Kernobst",Obst & Obstkonserven,stabil,0.4246222789256854,0.019551340965142244
Kopfsalat oder Eisbergsalat,Gemüse & Gemüsekonserven,stabil,0.4238023339502841,0.052981736287304904
"Kürbisse, Auberginen oder Mais",Gemüse & Gemüsekonserven,stabil,0.32642587963302994,-0.09427455378884002
Gurken,Gemüse & Gemüsekonserven,stabil,0.3235476635553414,-0.10216032009851056
Tomaten,Gemüse & Gemüsekonserven,stabil,0.279319501066302,0.11022751034703328
